x,phi
3.400436042724296927e-03,9.011637855610191497e-03
1.611103445882761109e-02,1.839500661000362594e-02
1.005530048018819268e-02,7.268978844615917034e-02
2.238400960078464758e-02,1.259056127402608805e-01
5.043077554135658863e-02,2.341242245831820223e-01
6.495049404436166463e-02,4.138154769104605002e-01
9.491775828477092003e-02,6.694059462894763612e-01
1.203924394205754256e-01,9.921698850213112042e-01
1.656116263865429206e-01,1.432281274428320206e+00
1.886335791855837385e-01,1.497310129241204324e+00
2.050893945408695240e-01,1.501012217748003863e+00
2.237161057033563716e-01,1.497655657742358093e+00
2.513213962783973909e-01,1.487784800579177835e+00
2.814148609822438307e-01,1.498476916624222222e+00
3.258107146608278937e-01,1.490432571587604782e+00
3.539570409111188476e-01,1.487941865511208661e+00
3.796672858173125165e-01,1.495942322828047510e+00
4.376340762545341545e-01,1.499751479000761778e+00
5.161279797411078007e-01,1.494641147336239984e+00
5.374739783585378294e-01,1.491724310756762373e+00
5.995576136866173078e-01,1.492612912868211517e+00
6.668443163315652678e-01,1.490813240733042555e+00
7.238013792755579878e-01,1.489063039578342851e+00
7.859501257016187070e-01,1.500195733205501147e+00
8.372795972025164346e-01,1.493847283129505321e+00
8.971275163424472510e-01,1.491009951015054513e+00
9.115275465426195822e-01,1.500824471050423048e+00
8.913489816567126134e-01,1.493117063914936038e+00
9.007949471855575263e-01,1.500438585116708134e+00
8.984469618626026444e-01,1.504281083885244508e+00
9.106743139504593909e-01,1.480809019610681343e+00
8.866564715838944899e-01,1.500307748525141482e+00
9.037195842624357045e-01,1.488737351883544058e+00
8.967600147545545797e-01,1.502866685094132349e+00
9.010320489948212552e-01,1.495544548429431853e+00
8.966357417112101880e-01,1.499555490317044049e+00
9.106045685378846288e-01,1.498595002849708813e+00
9.001400422221684794e-01,1.502058793212813992e+00
9.007577468970568990e-01,1.488793641213091767e+00
8.983947748663008159e-01,1.493947107032401966e+00
9.018216849476053953e-01,1.499732612237152152e+00
9.069120797738109419e-01,1.494959583964593275e+00
9.054449423300137134e-01,1.502819766221688447e+00
9.254147542961959072e-01,1.490245649087742930e+00
9.096378738768573502e-01,1.493749992598270904e+00
9.162657722146241301e-01,1.499735390967604109e+00
9.042899731463345248e-01,1.495470027856642625e+00
9.019557094373703565e-01,1.493317160883683714e+00
8.949181960121520563e-01,1.495165619758758169e+00
8.915603202133309813e-01,1.500599779096646325e+00
9.063482103607898299e-01,1.495058571254502588e+00
8.954838707577145174e-01,1.497345690053026868e+00
8.991999261228427187e-01,1.490312875705446238e+00
8.918115844689461502e-01,1.492708909890908986e+00
9.088322620520098427e-01,1.499380644257670481e+00
8.931801152334326588e-01,1.487280951537006901e+00
8.961404439646837305e-01,1.492537838702647335e+00
8.863415619768475473e-01,1.503883565128214750e+00
8.930816769608798111e-01,1.502260542921300956e+00
8.826005642991441302e-01,1.494233337766802006e+00
9.052502748073565364e-01,1.494136980522884350e+00
9.054923431984378546e-01,1.502165404511675684e+00
9.184006978619940753e-01,1.495239600027482352e+00
8.928109920668698685e-01,1.497371315128088076e+00
8.962265564690923281e-01,1.499821611219493755e+00
9.034741218718774780e-01,1.489090682450152858e+00
8.922338228555517503e-01,1.494899243466080829e+00
8.947352932491451361e-01,1.495630264261454956e+00
9.091876128292520898e-01,1.491362407409781543e+00
9.000627956103820493e-01,1.500239914684722287e+00
8.949945761145835510e-01,1.492210139870294494e+00
9.064520192694632827e-01,1.506714688579214423e+00
8.982286985775181920e-01,1.492866017310445326e+00
8.966785793262007642e-01,1.495868742470073176e+00
8.935347288452962777e-01,1.495460635666350901e+00
9.006108281587618114e-01,1.494793784008415560e+00
8.924872731998071407e-01,1.499318483158550430e+00
8.979829606169253964e-01,1.499888503820810071e+00
9.058205047586718184e-01,1.504880479634485457e+00
8.910725124569688349e-01,1.495299908043748349e+00
9.014097248957025910e-01,1.493047601956883907e+00
9.001644069580261309e-01,1.496724057079059644e+00
8.981582154292570008e-01,1.489548140780563079e+00
8.929538540545488567e-01,1.492556641013440322e+00
9.002627950315112981e-01,1.494637078227205373e+00
9.062196480328160719e-01,1.499213098896316820e+00
9.010361000983810875e-01,1.500969933888474106e+00
9.024765853420054773e-01,1.496220049925768514e+00
9.000561027411453363e-01,1.495541970754615146e+00
9.152585509260615648e-01,1.499065601825420924e+00
8.746538200303688448e-01,1.496568241027920410e+00
8.963936480293680509e-01,1.500197224648127658e+00
9.045501846021916093e-01,1.500127637561464278e+00
8.796049272036652322e-01,1.497851875942700639e+00
9.139246215788636718e-01,1.503575716355489478e+00
9.216583294643958535e-01,1.497108195968934519e+00
9.075576106297358336e-01,1.504505821257487774e+00
9.056656582080208073e-01,1.500813807705976499e+00
8.924475335172117330e-01,1.496753268485248478e+00
9.062598891229064479e-01,1.495023455143269286e+00
9.107464873544991457e-01,1.491972170296402389e+00
9.025699699351507066e-01,1.490321658769125701e+00
8.903831000460521450e-01,1.496111662934330511e+00
9.108351853337690596e-01,1.503323783689425097e+00
8.807468665727840040e-01,1.496527007977706436e+00
8.910145314277658768e-01,1.498650463084477691e+00
8.953330042984835035e-01,1.509284440089299961e+00
8.845923944076589107e-01,1.489262953479471019e+00
9.021908568178943488e-01,1.491293432583612022e+00
9.234360546150426341e-01,1.492777709365456840e+00
8.914665606733889192e-01,1.497231693145074649e+00
9.111153254957786718e-01,1.491382252452731150e+00
9.213136248771094383e-01,1.490726788184836726e+00
8.974118682970065874e-01,1.496624066827707544e+00
8.920028143284978173e-01,1.494869120326642209e+00
8.881575947187637654e-01,1.499424272074709519e+00
9.194560611722284449e-01,1.493580126346348846e+00
8.985284747590275289e-01,1.493631342893782410e+00
9.139184013763484993e-01,1.490294722666671623e+00
8.944806777583466095e-01,1.499580715515193452e+00
9.023224528228481756e-01,1.499879624366275310e+00
9.135727307770912242e-01,1.493372092170003773e+00
9.101952889477455955e-01,1.491811296667508779e+00
9.007213006011757228e-01,1.492807156821554182e+00
8.903323839530556949e-01,1.493069383047586296e+00
8.887665373872774000e-01,1.496888233410651026e+00
8.828150462277203347e-01,1.494741611940517911e+00
9.052031921338478115e-01,1.493334380232598679e+00
8.917312271203668983e-01,1.485855956956030788e+00
9.113201990591420776e-01,1.495763245796056351e+00
8.970094823421388419e-01,1.485122576025602603e+00
9.031469532283649126e-01,1.495409364213965642e+00
8.979791248405120108e-01,1.498924633224979264e+00
9.097016201077521291e-01,1.492566024839834249e+00
9.111660385245929916e-01,1.494955159258794852e+00
9.058853428517577022e-01,1.501391476091202604e+00
8.939955681587830050e-01,1.499153522527056914e+00
9.178019115033746456e-01,1.486210853894619488e+00
8.992150365050700644e-01,1.503327572312179061e+00
9.198207943681633303e-01,1.488347693963112395e+00
8.941974477306633418e-01,1.487503440849170300e+00
9.090864710963429962e-01,1.489280005129132611e+00
9.100500448788346741e-01,1.495546288141491820e+00
9.031725457393778855e-01,1.489605792347095337e+00
9.093822010725036709e-01,1.485712387310563098e+00
9.048639254803167997e-01,1.496793777303928152e+00
8.982377567833250698e-01,1.506813239688331807e+00
9.116995297026536660e-01,1.499590825009758932e+00
9.152523246184982586e-01,1.497918174825316084e+00
8.857839465466748052e-01,1.494723463838295574e+00
8.931299299075881049e-01,1.491312518261493025e+00
9.122854786044212183e-01,1.497541709864018689e+00
8.810101981460437548e-01,1.487698628222614561e+00
9.002952810170782305e-01,1.500292215776440008e+00
8.915480777916305888e-01,1.497166052066158271e+00
9.111595627525588270e-01,1.500095864677220669e+00
8.909926883139094311e-01,1.491364833714069915e+00
8.913026752678748776e-01,1.491772151494023202e+00
9.155966155842921728e-01,1.491693663065966069e+00
8.982109687973108825e-01,1.504556063085373596e+00
8.999069581613695634e-01,1.495144954291887540e+00
9.220225076753593152e-01,1.492841618901734613e+00
8.908067165567035151e-01,1.488539813938448697e+00
8.891270728886457864e-01,1.489568381866533731e+00
8.934565022020141134e-01,1.502242109128773651e+00
8.982407422717684220e-01,1.484503031898329439e+00
8.907318498135126106e-01,1.491524250581304889e+00
9.091391006136858577e-01,1.497226367987258389e+00
9.143685169333347629e-01,1.494764244044877843e+00
9.071977387327530007e-01,1.507294771706328973e+00
8.924987495593300624e-01,1.492229130546649962e+00
9.020311639094896750e-01,1.493985977537176435e+00
8.978482590436445143e-01,1.494730771573982375e+00
9.130964497602821472e-01,1.485292810971242439e+00
8.930681893245016045e-01,1.499755032437335878e+00
9.072269225653851743e-01,1.501226540327416981e+00
8.995338661146707881e-01,1.490071841572729650e+00
8.877042064477386196e-01,1.498979249304474237e+00
8.996215085615073548e-01,1.494884886917289490e+00
9.065171586529944259e-01,1.495760904615365483e+00
9.187229604128451799e-01,1.491248978935365122e+00
9.097521939983351791e-01,1.488222665619110208e+00
8.843183908262078896e-01,1.494775217973334680e+00
9.073169320642928692e-01,1.496509887330935706e+00
9.034541136015835638e-01,1.495934895721270363e+00
8.993426475922960961e-01,1.499706851955392883e+00
8.974615039452403797e-01,1.500857214227326875e+00
8.909802111455823459e-01,1.500931666622902894e+00
9.039834077814256075e-01,1.495271939939636363e+00
8.975814824550233384e-01,1.507771264350547202e+00
9.059909312766858402e-01,1.498516282877331074e+00
9.007859634719839192e-01,1.490620848590762604e+00
9.141615603696143788e-01,1.494217675431987580e+00
8.971154761472929229e-01,1.493823813053149596e+00
9.186550715181488469e-01,1.498343029600312182e+00
8.921046114149606687e-01,1.492371319074469183e+00
9.068315964573908650e-01,1.491845161052893776e+00
9.146366362524145366e-01,1.504884802346933448e+00
8.955437807829002006e-01,1.511200614673784637e+00
9.073212132416258457e-01,1.493695665004405315e+00
8.856208906836746664e-01,1.491678808332409734e+00
9.031028048944473863e-01,1.492912307890677193e+00
9.002156820627494893e-01,1.502090277836782173e+00
8.874559309270589891e-01,1.490498525977570710e+00
9.084567516341863769e-01,1.498340722106827450e+00
9.076711572099654957e-01,1.493285830795264113e+00
9.014627934384769059e-01,1.500758455575832429e+00
8.859250825901088255e-01,1.497870011835107595e+00
9.010999647274399171e-01,1.500005297569654061e+00
8.828031011371659798e-01,1.494872909773582448e+00
8.957513947499945450e-01,1.503100019420681388e+00
9.037859264793565162e-01,1.495542488048455798e+00
8.963909299641743544e-01,1.493567041276123719e+00
9.106083020645242554e-01,1.492749357687630729e+00
8.795557366299401325e-01,1.498237043189736273e+00
9.006971462591387700e-01,1.493243635071588082e+00
9.184329776061657125e-01,1.498311331864122575e+00
9.062448760144290461e-01,1.487655322654724221e+00
8.830926408925929838e-01,1.499329446749221084e+00
9.063271271725251710e-01,1.498423839247756462e+00
9.093509463417661642e-01,1.497717712814133240e+00
9.057628453787278655e-01,1.504285172629671541e+00
9.017998827592642597e-01,1.499537001619631216e+00
8.873055147974545642e-01,1.493935449447405084e+00
9.110061346588402831e-01,1.495211589943754804e+00
9.138756748792588036e-01,1.498455419880823758e+00
8.962042050592288200e-01,1.484793614743395773e+00
9.025428367814949393e-01,1.504112721503646055e+00
9.089713587328198674e-01,1.499447811555256083e+00
9.020056626265806621e-01,1.494839392028086467e+00
8.914359943603805680e-01,1.502615509554563467e+00
9.030910827040314892e-01,1.489793140605684574e+00
8.880910820182543741e-01,1.499125159396415663e+00
8.891602687603612498e-01,1.492592082763881667e+00
8.902321394229671947e-01,1.491282974283266505e+00
9.003731175381730623e-01,1.492585873043019484e+00
8.977760669403467286e-01,1.495901618996507310e+00
8.908671166605448555e-01,1.500360193223652550e+00
9.099947835123671780e-01,1.492111378848435699e+00
9.042401977996123996e-01,1.495301946850325026e+00
8.998034019550937845e-01,1.491572143976864995e+00
9.062511671618845854e-01,1.499059652938353970e+00
8.879893894750933159e-01,1.498461194999061608e+00
9.284363116768334923e-01,1.496025139826705930e+00
9.020095493275949172e-01,1.497892993705783438e+00
8.979829068118475588e-01,1.500718391358772719e+00
8.906221786250213546e-01,1.496915971857626149e+00
8.883433876429800424e-01,1.499387008112666786e+00
8.879958885069851870e-01,1.502506581553914033e+00
8.917884990895613706e-01,1.487737484000879462e+00
8.954438007163414426e-01,1.493803167971536006e+00
8.860504533062004695e-01,1.490633714834942447e+00
8.984469938736668881e-01,1.481882655124930004e+00
9.107951844991253321e-01,1.497857188213440605e+00
8.867953411980241674e-01,1.484835908187638776e+00
8.983196079573241288e-01,1.498940871695131793e+00
9.023168744736653757e-01,1.498888416324297701e+00
8.982449022550526019e-01,1.498262915740746104e+00
8.885964267213352086e-01,1.505814446231309445e+00
9.029650552133592356e-01,1.492933758960659718e+00
8.975927086717553349e-01,1.491610759430238353e+00
9.006437838124102813e-01,1.500036461059088833e+00
8.989048022582821762e-01,1.485327043470289432e+00
8.888444106562266578e-01,1.493309445944870584e+00
9.039443828965630923e-01,1.486698037925018534e+00
8.938120505800216664e-01,1.485689449290255260e+00
8.926173586560685047e-01,1.491535990714752069e+00
8.942453791762227100e-01,1.492444487225713878e+00
9.122686941464437371e-01,1.498634520535791825e+00
9.022085343381841538e-01,1.490149589538575459e+00
8.951765938146831747e-01,1.491872366960337759e+00
8.858238252552187442e-01,1.495338398372456412e+00
8.966906985395348695e-01,1.493859729329274577e+00
9.114272446335518474e-01,1.494865114029889197e+00
9.067705128355043609e-01,1.494504317129479620e+00
9.010828351621605892e-01,1.491788516816455301e+00
8.967407493169335941e-01,1.491461304997238502e+00
9.154754890381678889e-01,1.505372569052712883e+00
8.998608183262138960e-01,1.488985564173089582e+00
8.874374984204143058e-01,1.503643739187259687e+00
8.967653965522617288e-01,1.495341336059293313e+00
9.096795035044771272e-01,1.487990431555205273e+00
8.861286038882674188e-01,1.493970524721996096e+00
9.025370530132779123e-01,1.497184858297337939e+00
8.960405560402424641e-01,1.485982671239126196e+00
8.934911486987524576e-01,1.499980179205774755e+00
8.994566399295169656e-01,1.500106096111413878e+00
9.220403934284175929e-01,1.496489806684509816e+00
9.028421724550812488e-01,1.489586469478834330e+00
8.997412079295599163e-01,1.503308563477670390e+00
8.954029824369993396e-01,1.501281062884733952e+00
8.953785881256021151e-01,1.494679785336170408e+00
9.066418312183878170e-01,1.495710077044536401e+00
8.839532802459140193e-01,1.499275485156566168e+00
8.880992308581937555e-01,1.499595504235450294e+00
8.770050279652199521e-01,1.501582354274764830e+00
9.040286293133453777e-01,1.496986983357075252e+00
9.043592476553857784e-01,1.496878868454506240e+00
8.982788858527630538e-01,1.495399624189961418e+00
9.113154700785518481e-01,1.497951220119032589e+00
8.943799223526532893e-01,1.501208280271473905e+00
8.800298959165654411e-01,1.494128607882451387e+00
8.897893090680859540e-01,1.498072853695013640e+00
8.957632682599921958e-01,1.491400862712396691e+00
8.898487784919552057e-01,1.494709828556020526e+00
8.934741888783988006e-01,1.496992397846942380e+00
8.854608298949485645e-01,1.501248789449529442e+00
9.018018758734972495e-01,1.494827906759976344e+00
9.077746845771658135e-01,1.495198755195824125e+00
8.771945601377083568e-01,1.502345360657644235e+00
8.879859774441647424e-01,1.496848680404106124e+00
8.913416344115761003e-01,1.491967063994434683e+00
9.087289585107908296e-01,1.502998510823854383e+00
9.121837168625208658e-01,1.493556523111949197e+00
9.087510118043472529e-01,1.494927543522205804e+00
8.950440857418237028e-01,1.499579599439000210e+00
9.102687192085704426e-01,1.496730810708787107e+00
8.965541689677452020e-01,1.492530985542567468e+00
9.080733700682971365e-01,1.497985957872519203e+00
8.898670088096229946e-01,1.489203748909939895e+00
9.140341581228339507e-01,1.493271785970344157e+00
9.194207186895124728e-01,1.495745206533662053e+00
8.877219491144623387e-01,1.501158655000527364e+00
8.982312147256460433e-01,1.493910967477363405e+00
9.058020139744571431e-01,1.487605526013846768e+00
8.991797973790363052e-01,1.493693055767864042e+00
9.167260186886148077e-01,1.492042748122045737e+00
9.124774404801776484e-01,1.492766085262848597e+00
9.008986547279831392e-01,1.498900246885665810e+00
9.288768002901993670e-01,1.493606005612735599e+00
9.030398494938067788e-01,1.495978491361734664e+00
9.025351254520422861e-01,1.497824028942635666e+00
9.021197436112161627e-01,1.496826341576519503e+00
9.071009580493940572e-01,1.493566704604252449e+00
9.040812956274607570e-01,1.494754598683852853e+00
8.800802701558346763e-01,1.500412647138722910e+00
8.998315518941523150e-01,1.503084284819250716e+00
9.062701816268844413e-01,1.493426048656599336e+00
9.000181324127801696e-01,1.497461847419217174e+00
9.114265952713408447e-01,1.497904543775741448e+00
9.076804136760276975e-01,1.497839742799306428e+00
9.118261992973096808e-01,1.503296262079543810e+00
8.866603223737553607e-01,1.499048753516365240e+00
9.195653121222167048e-01,1.492096540977609020e+00
8.821119518285510663e-01,1.496036988886857211e+00
8.985617867737317743e-01,1.501539677233741932e+00
9.063539528560115022e-01,1.496731174344282378e+00
9.074388476330854658e-01,1.494387086196694581e+00
9.194138208073530105e-01,1.488559445597478881e+00
9.021062718375193468e-01,1.491163298519734504e+00
8.898142217417919220e-01,1.501438211763309383e+00
8.938474020510047691e-01,1.501040976114530467e+00
9.113907382621543318e-01,1.502113096487913468e+00
8.875636291828497004e-01,1.492828555732498730e+00
9.124339137842146785e-01,1.491950471274445800e+00
9.016083836063560897e-01,1.485413185161471139e+00
9.070129513499078922e-01,1.506902007173719582e+00
8.841654258365313490e-01,1.490140714277719214e+00
8.902703835657268527e-01,1.507468536981437346e+00
8.915464918470408229e-01,1.501663281169123731e+00
8.974109595027776054e-01,1.497316274078539955e+00
8.836178313669394990e-01,1.496279548957715422e+00
8.992258958637084909e-01,1.499976663191315618e+00
9.040860366519557489e-01,1.500206420173018973e+00
9.169123868758813911e-01,1.496725172535880555e+00
8.949716807669136909e-01,1.498973870972319711e+00
9.014432710472971566e-01,1.499139495840009273e+00
8.935770341927417038e-01,1.492259298810858725e+00
9.048619587900212924e-01,1.491224297988658298e+00
9.003600774213057489e-01,1.503000730019278919e+00
8.971645034046678013e-01,1.494841694310831581e+00
8.832021163928762686e-01,1.488595630870106490e+00
9.014415104509470034e-01,1.501257945742310085e+00
9.041667985615271519e-01,1.496768466478958448e+00
8.965447162888512400e-01,1.500968904723066544e+00
9.131322409575435284e-01,1.500012772363930935e+00
8.887799816588464186e-01,1.494927983661257676e+00
8.964198655586145259e-01,1.492520702616054962e+00
8.952842945432141208e-01,1.494079705635667832e+00
8.949839800450424265e-01,1.504182390621018772e+00
8.934152197925975258e-01,1.499460653768887930e+00
9.020525481424703784e-01,1.492647190144720470e+00
8.928720053800581757e-01,1.488789888148890128e+00
8.860218506198352939e-01,1.496661317982941553e+00
9.061601421019461755e-01,1.497774050786475186e+00
9.055550862688628300e-01,1.494899627399062680e+00
9.120893252898564230e-01,1.498493716028283407e+00
9.234967282967398994e-01,1.497190982842324880e+00
9.105415962135403607e-01,1.495547022030543571e+00
9.045253384837729227e-01,1.488907315537393750e+00
8.924238875700782891e-01,1.495613852811563449e+00
8.954747422379149002e-01,1.501173455328747686e+00
9.046409974432014778e-01,1.502528187975575857e+00
9.067530411055576556e-01,1.502206853251898622e+00
9.139392473389438276e-01,1.494898326839551927e+00
9.009515889666087629e-01,1.489051121776609810e+00
9.114793436668415794e-01,1.499329319546523376e+00
9.103846025732516001e-01,1.497347662720574402e+00
9.012506215439258783e-01,1.495851361980911731e+00
9.226448918677623290e-01,1.502538900904674568e+00
